ID,Дата проведения матча,Команда Силы Света,Команда Силы Тьмы,Победитель,Победившая сторона
360,2023-11-05,Team Liquid,Team Spirit,Team Liquid,Силы света
361,2022-12-04,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
362,2022-03-13,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
363,2021-08-14,Team Spirit,Team Liquid,Team Spirit,Силы света
364,2020-06-15,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
365,2021-06-25,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
366,2021-08-17,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
367,2020-09-21,Shopify Rebellion,Azure Ray,Azure Ray,Силы тьмы
368,2022-07-14,Xtreme Gaming,Tundra Esports,Xtreme Gaming,Силы света
369,2023-09-03,Shopify Rebellion,BetBoom Team,BetBoom Team,Силы тьмы
370,2020-08-03,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
371,2022-04-11,Azure Ray,Shopify Rebellion,Azure Ray,Силы света
372,2020-06-11,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
373,2022-04-02,BetBoom Team,Parivision,Parivision,Силы тьмы
374,2020-06-14,Heroic,Azure Ray,Heroic,Силы света
375,2023-08-04,Team Liquid,Heroic,Heroic,Силы тьмы
376,2021-12-05,Xtreme Gaming,Parivision,Parivision,Силы тьмы
377,2020-07-23,Parivision,BetBoom Team,Parivision,Силы света
378,2021-11-07,Team Spirit,Parivision,Team Spirit,Силы света
379,2020-10-19,Heroic,Azure Ray,Azure Ray,Силы тьмы
380,2023-05-02,Parivision,BetBoom Team,BetBoom Team,Силы тьмы
381,2022-12-15,Tundra Esports,BetBoom Team,Tundra Esports,Силы света
382,2021-06-28,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
383,2020-09-12,Gaimin Gladiators,Tundra Esports,Gaimin Gladiators,Силы света
384,2021-03-22,Team Liquid,Azure Ray,Team Liquid,Силы света
385,2021-04-26,Tundra Esports,Parivision,Tundra Esports,Силы света
386,2022-02-06,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
387,2022-12-19,Shopify Rebellion,Heroic,Heroic,Силы тьмы
388,2022-09-06,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
389,2023-10-12,Shopify Rebellion,Azure Ray,Shopify Rebellion,Силы света
390,2022-05-08,BetBoom Team,Xtreme Gaming,BetBoom Team,Силы света
391,2023-08-10,Parivision,Heroic,Parivision,Силы света
392,2020-12-04,Team Liquid,Tundra Esports,Team Liquid,Силы света
393,2020-01-05,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
394,2022-04-22,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
395,2022-12-31,Xtreme Gaming,Team Liquid,Team Liquid,Силы тьмы
396,2022-11-10,Gaimin Gladiators,Azure Ray,Gaimin Gladiators,Силы света
397,2022-10-23,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
398,2021-06-08,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
399,2021-10-10,BetBoom Team,Heroic,BetBoom Team,Силы света
400,2020-03-12,Tundra Esports,Azure Ray,Tundra Esports,Силы света
401,2022-07-12,Team Spirit,Parivision,Team Spirit,Силы света
402,2023-04-24,BetBoom Team,Team Spirit,BetBoom Team,Силы света
403,2021-09-12,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
404,2022-10-23,Tundra Esports,BetBoom Team,BetBoom Team,Силы тьмы
405,2020-05-26,Tundra Esports,Team Liquid,Team Liquid,Силы тьмы
406,2020-03-14,Team Liquid,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
407,2020-11-21,Gaimin Gladiators,Azure Ray,Gaimin Gladiators,Силы света
408,2020-05-22,Gaimin Gladiators,Team Liquid,Team Liquid,Силы тьмы
409,2021-11-05,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
410,2020-03-15,Azure Ray,Tundra Esports,Azure Ray,Силы света
411,2021-11-23,Azure Ray,Gaimin Gladiators,Azure Ray,Силы света
412,2020-10-02,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
413,2023-09-02,Tundra Esports,Parivision,Parivision,Силы тьмы
414,2022-06-02,Azure Ray,BetBoom Team,Azure Ray,Силы света
415,2023-09-13,Parivision,Azure Ray,Parivision,Силы света
416,2022-02-14,Shopify Rebellion,Parivision,Parivision,Силы тьмы
417,2021-06-19,Tundra Esports,BetBoom Team,BetBoom Team,Силы тьмы
418,2023-04-03,Shopify Rebellion,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
419,2020-12-05,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
420,2022-04-28,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
421,2020-03-27,Parivision,Tundra Esports,Parivision,Силы света
422,2021-02-26,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
423,2022-02-11,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
424,2022-03-05,BetBoom Team,Xtreme Gaming,BetBoom Team,Силы света
425,2022-09-08,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
426,2022-10-09,Parivision,Heroic,Parivision,Силы света
427,2020-02-21,Gaimin Gladiators,Azure Ray,Azure Ray,Силы тьмы
428,2023-06-05,Azure Ray,Shopify Rebellion,Shopify Rebellion,Силы тьмы
429,2021-06-10,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
430,2022-10-17,BetBoom Team,Azure Ray,Azure Ray,Силы тьмы
431,2021-10-02,Shopify Rebellion,Team Liquid,Team Liquid,Силы тьмы
432,2022-11-12,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
433,2022-08-31,Shopify Rebellion,BetBoom Team,BetBoom Team,Силы тьмы
434,2022-12-03,Heroic,Azure Ray,Azure Ray,Силы тьмы
435,2023-05-28,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
436,2020-12-03,Team Liquid,Gaimin Gladiators,Team Liquid,Силы света
437,2021-01-18,Parivision,BetBoom Team,BetBoom Team,Силы тьмы
438,2022-08-09,Tundra Esports,Team Spirit,Tundra Esports,Силы света
439,2021-03-18,Azure Ray,Xtreme Gaming,Xtreme Gaming,Силы тьмы
440,2020-09-22,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
441,2023-04-01,Team Liquid,Gaimin Gladiators,Team Liquid,Силы света
442,2023-01-04,Team Liquid,Team Spirit,Team Liquid,Силы света
443,2021-12-05,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
444,2022-02-15,Heroic,Team Liquid,Team Liquid,Силы тьмы
445,2022-07-25,Heroic,Gaimin Gladiators,Heroic,Силы света
446,2022-06-13,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
447,2023-05-10,Tundra Esports,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
448,2020-03-01,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
449,2021-02-06,Tundra Esports,Azure Ray,Azure Ray,Силы тьмы
450,2021-07-05,Tundra Esports,Team Liquid,Team Liquid,Силы тьмы
451,2022-05-19,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
452,2020-11-20,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
453,2021-03-29,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
454,2022-06-18,Team Liquid,Parivision,Team Liquid,Силы света
455,2022-04-04,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
456,2022-03-25,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
457,2022-09-13,Gaimin Gladiators,BetBoom Team,BetBoom Team,Силы тьмы
458,2020-11-10,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
459,2021-05-13,Gaimin Gladiators,Azure Ray,Azure Ray,Силы тьмы
460,2022-11-17,Parivision,Xtreme Gaming,Parivision,Силы света
461,2023-08-31,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
462,2020-08-22,Team Spirit,Gaimin Gladiators,Team Spirit,Силы света
463,2020-11-20,Team Spirit,Azure Ray,Team Spirit,Силы света
464,2022-05-11,Azure Ray,BetBoom Team,Azure Ray,Силы света
465,2022-10-14,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
466,2023-02-13,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
467,2023-11-18,Xtreme Gaming,Shopify Rebellion,Shopify Rebellion,Силы тьмы
468,2022-08-18,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
469,2022-08-28,Gaimin Gladiators,Team Liquid,Team Liquid,Силы тьмы
470,2023-03-27,Team Spirit,Azure Ray,Team Spirit,Силы света
471,2021-12-27,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
472,2022-11-08,Team Spirit,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
473,2022-01-28,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
474,2023-11-10,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
475,2020-11-28,Shopify Rebellion,Team Liquid,Shopify Rebellion,Силы света
476,2021-03-10,Xtreme Gaming,Team Liquid,Team Liquid,Силы тьмы
477,2022-05-19,Team Liquid,Azure Ray,Team Liquid,Силы света
478,2022-10-28,Team Spirit,Gaimin Gladiators,Team Spirit,Силы света
479,2020-02-13,Heroic,Azure Ray,Azure Ray,Силы тьмы
480,2020-06-26,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
481,2022-03-02,Team Spirit,BetBoom Team,Team Spirit,Силы света
482,2023-08-18,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
483,2022-05-03,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
484,2021-09-04,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
485,2022-08-15,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
486,2021-05-02,Team Liquid,Shopify Rebellion,Team Liquid,Силы света
487,2021-12-07,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
488,2020-10-11,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
489,2023-10-21,Azure Ray,Shopify Rebellion,Azure Ray,Силы света
490,2023-10-01,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
491,2022-04-19,Tundra Esports,Azure Ray,Tundra Esports,Силы света
492,2022-05-07,Tundra Esports,Heroic,Tundra Esports,Силы света
493,2022-04-28,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
494,2020-05-27,Parivision,Gaimin Gladiators,Parivision,Силы света
495,2020-12-04,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
496,2020-07-15,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
497,2021-11-23,Heroic,Azure Ray,Heroic,Силы света
498,2022-09-15,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
499,2022-06-03,Azure Ray,Parivision,Azure Ray,Силы света
500,2023-01-04,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
501,2023-05-15,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
502,2023-01-12,Tundra Esports,Azure Ray,Tundra Esports,Силы света
503,2021-07-25,Team Liquid,Azure Ray,Team Liquid,Силы света
504,2022-08-23,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
505,2021-08-10,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
506,2023-01-16,Gaimin Gladiators,Team Liquid,Gaimin Gladiators,Силы света
507,2022-03-28,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
508,2020-03-27,Azure Ray,Tundra Esports,Azure Ray,Силы света
509,2022-10-28,Team Spirit,Heroic,Team Spirit,Силы света
510,2020-02-19,Azure Ray,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
511,2023-03-07,Azure Ray,Gaimin Gladiators,Azure Ray,Силы света
512,2023-07-19,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
513,2022-01-18,Tundra Esports,Azure Ray,Azure Ray,Силы тьмы
514,2023-12-02,Xtreme Gaming,Heroic,Heroic,Силы тьмы
515,2021-08-09,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
516,2022-10-30,Azure Ray,BetBoom Team,Azure Ray,Силы света
517,2023-08-22,Team Liquid,Gaimin Gladiators,Team Liquid,Силы света
518,2021-03-28,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
519,2022-04-10,Heroic,Team Liquid,Heroic,Силы света
520,2022-10-12,Heroic,Team Spirit,Team Spirit,Силы тьмы
521,2022-09-26,Parivision,Shopify Rebellion,Shopify Rebellion,Силы тьмы
522,2020-04-13,Parivision,Heroic,Heroic,Силы тьмы
523,2020-01-20,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
524,2020-06-03,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
525,2020-11-11,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
526,2022-01-22,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
527,2023-01-07,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
528,2023-09-28,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
529,2021-10-07,Heroic,Team Spirit,Heroic,Силы света
530,2022-04-30,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
531,2022-09-11,Azure Ray,Parivision,Parivision,Силы тьмы
532,2022-02-04,Gaimin Gladiators,Xtreme Gaming,Gaimin Gladiators,Силы света
533,2021-01-19,Team Spirit,Parivision,Team Spirit,Силы света
534,2022-01-29,Xtreme Gaming,Azure Ray,Azure Ray,Силы тьмы
535,2020-06-17,Team Liquid,Tundra Esports,Team Liquid,Силы света
536,2022-07-12,Tundra Esports,Team Liquid,Tundra Esports,Силы света
537,2022-11-29,Tundra Esports,Parivision,Parivision,Силы тьмы
538,2022-08-29,Tundra Esports,BetBoom Team,BetBoom Team,Силы тьмы
539,2020-02-13,Azure Ray,Tundra Esports,Azure Ray,Силы света
540,2020-01-06,Tundra Esports,BetBoom Team,Tundra Esports,Силы света
541,2021-09-23,Heroic,Team Liquid,Team Liquid,Силы тьмы
542,2022-08-21,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
543,2020-09-30,Heroic,Parivision,Heroic,Силы света
544,2020-01-04,Team Spirit,Parivision,Team Spirit,Силы света
545,2022-10-22,Heroic,BetBoom Team,Heroic,Силы света
546,2021-08-25,BetBoom Team,Team Liquid,BetBoom Team,Силы света
547,2021-12-06,Tundra Esports,Heroic,Tundra Esports,Силы света
548,2022-04-09,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
549,2020-05-24,Heroic,Shopify Rebellion,Heroic,Силы света
550,2023-10-05,Heroic,Azure Ray,Heroic,Силы света
551,2021-03-02,Parivision,Team Liquid,Team Liquid,Силы тьмы
552,2021-03-17,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
553,2023-08-05,Heroic,BetBoom Team,Heroic,Силы света
554,2022-03-07,Heroic,Parivision,Heroic,Силы света
555,2020-05-29,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
556,2022-03-24,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
557,2020-12-11,Parivision,Gaimin Gladiators,Parivision,Силы света
558,2021-05-22,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
559,2021-09-12,Team Spirit,Azure Ray,Team Spirit,Силы света
560,2021-09-18,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
561,2021-04-12,Heroic,Azure Ray,Azure Ray,Силы тьмы
562,2020-01-19,BetBoom Team,Xtreme Gaming,BetBoom Team,Силы света
563,2021-08-10,Azure Ray,Parivision,Azure Ray,Силы света
564,2020-07-17,Gaimin Gladiators,Team Spirit,Gaimin Gladiators,Силы света
565,2020-11-08,Gaimin Gladiators,Azure Ray,Azure Ray,Силы тьмы
566,2022-09-13,BetBoom Team,Parivision,BetBoom Team,Силы света
567,2021-10-12,Parivision,Team Liquid,Parivision,Силы света
568,2021-09-15,Team Liquid,Tundra Esports,Tundra Esports,Силы тьмы
569,2021-09-13,Heroic,Gaimin Gladiators,Heroic,Силы света
570,2020-12-25,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
571,2021-01-13,Team Spirit,Parivision,Team Spirit,Силы света
572,2023-01-21,BetBoom Team,Shopify Rebellion,BetBoom Team,Силы света
573,2022-05-26,Parivision,Team Liquid,Team Liquid,Силы тьмы
574,2023-12-20,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
575,2021-11-10,Azure Ray,Heroic,Azure Ray,Силы света
576,2023-03-07,Team Spirit,Azure Ray,Team Spirit,Силы света
577,2020-10-02,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
578,2020-09-10,Parivision,Heroic,Heroic,Силы тьмы
579,2020-11-28,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
580,2021-02-06,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
581,2021-11-29,Team Spirit,Azure Ray,Team Spirit,Силы света
582,2022-12-18,Heroic,Xtreme Gaming,Heroic,Силы света
583,2020-05-11,Azure Ray,Team Liquid,Team Liquid,Силы тьмы
584,2020-01-16,Tundra Esports,Team Spirit,Team Spirit,Силы тьмы
585,2022-09-19,Tundra Esports,Azure Ray,Tundra Esports,Силы света
586,2023-03-05,Parivision,Heroic,Heroic,Силы тьмы
587,2021-11-22,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
588,2020-11-06,Heroic,Team Spirit,Team Spirit,Силы тьмы
589,2020-12-31,Gaimin Gladiators,Azure Ray,Gaimin Gladiators,Силы света
590,2022-12-23,Azure Ray,BetBoom Team,Azure Ray,Силы света
591,2023-03-26,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
592,2021-07-26,Heroic,Tundra Esports,Tundra Esports,Силы тьмы
593,2023-08-14,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
594,2020-08-17,Shopify Rebellion,Tundra Esports,Tundra Esports,Силы тьмы
595,2021-12-13,Gaimin Gladiators,BetBoom Team,Gaimin Gladiators,Силы света
596,2023-05-17,Gaimin Gladiators,Parivision,Gaimin Gladiators,Силы света
597,2023-06-23,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
598,2021-02-11,Azure Ray,Parivision,Azure Ray,Силы света
599,2022-09-19,Team Liquid,Shopify Rebellion,Team Liquid,Силы света
600,2021-02-26,Parivision,Gaimin Gladiators,Parivision,Силы света
601,2022-09-07,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
602,2020-05-01,Heroic,Xtreme Gaming,Xtreme Gaming,Силы тьмы
603,2022-01-21,Tundra Esports,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
604,2022-09-23,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
605,2020-02-18,Parivision,BetBoom Team,BetBoom Team,Силы тьмы
606,2021-08-16,Team Liquid,Heroic,Heroic,Силы тьмы
607,2020-04-20,Team Spirit,Team Liquid,Team Spirit,Силы света
608,2021-09-20,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
609,2023-03-29,Parivision,Shopify Rebellion,Parivision,Силы света
